"dt_name","dt_code","dt_wcm","dt_group","dt_class","dt_cluster","dt_priority","dt_user_selectable","oeeType","fault_code"
"","PROCESS FAULT - STA 7","","","","LN52states","-1","false","Performance","1209"
"","PROCESS FAULT - UNLOAD","","","","LN52states","-1","false","Performance","1210"
"","PROCESS FAULT - LOAD HLDBACK","","","","LN52states","-1","false","Performance","1211"
"","PROCESS FAULT - VISION HLDBACK","","","","LN52states","-1","false","Performance","1212"
"","NO PART AT STA 1 HOLDBACK","","","","LN52states","-1","false","Performance","1213"
"","PROCESS FAULT - UNLOAD HLDBACK","","","","LN52states","-1","false","Performance","1214"
"","ESTOP - AGC 1","","","","LN52states","-1","false","Performance","1301"
"","ESTOP - AGC 2","","","","LN52states","-1","false","Performance","1302"
"","ESTOP - AGC 3","","","","LN52states","-1","false","Performance","1303"
"","ESTOP - AGC 4","","","","LN52states","-1","false","Performance","1304"
"","ESTOP - AGC 5","","","","LN52states","-1","false","Performance","1305"
"","ESTOP - AGC 6","","","","LN52states","-1","false","Performance","1306"
"","ESTOP - AGC 7","","","","LN52states","-1","false","Performance","1307"
"","ESTOP - AGC 8","","","","LN52states","-1","false","Performance","1308"
"","ESTOP - AGC 9","","","","LN52states","-1","false","Performance","1309"
"","ESTOP - AGC 10","","","","LN52states","-1","false","Performance","1310"
"","ESTOP - AGC 11","","","","LN52states","-1","false","Performance","1311"
"","ESTOP - AGC 12","","","","LN52states","-1","false","Performance","1312"
"","ESTOP - AGC 13","","","","LN52states","-1","false","Performance","1313"
"","ESTOP - AGC 14","","","","LN52states","-1","false","Performance","1314"
"","SEND AGC 1 TO MAINT","","","","LN52states","-1","false","Performance","1401"
"","SEND AGC 2 TO MAINT","","","","LN52states","-1","false","Performance","1402"
"","SEND AGC 3 TO MAINT","","","","LN52states","-1","false","Performance","1403"
"","SEND AGC 4 TO MAINT","","","","LN52states","-1","false","Performance","1404"
"","SEND AGC 5 TO MAINT","","","","LN52states","-1","false","Performance","1405"
"","SEND AGC 6 TO MAINT","","","","LN52states","-1","false","Performance","1406"
"","SEND AGC 7 TO MAINT","","","","LN52states","-1","false","Performance","1407"
"","SEND AGC 8 TO MAINT","","","","LN52states","-1","false","Performance","1408"
"","SEND AGC 9 TO MAINT","","","","LN52states","-1","false","Performance","1409"
"","SEND AGC 10 TO MAINT","","","","LN52states","-1","false","Performance","1410"
"","SEND AGC 11 TO MAINT","","","","LN52states","-1","false","Performance","1411"
"","SEND AGC 12 TO MAINT","","","","LN52states","-1","false","Performance","1412"
"","SEND AGC 13 TO MAINT","","","","LN52states","-1","false","Performance","1413"
"","SEND AGC 14 TO MAINT","","","","LN52states","-1","false","Performance","1414"
"","BLOCKED - AGC 1","","","","LN52states","-1","false","Performance","2001"
"","BLOCKED - AGC 2","","","","LN52states","-1","false","Performance","2002"
"","BLOCKED - AGC 3","","","","LN52states","-1","false","Performance","2003"
"","BLOCKED - AGC 4","","","","LN52states","-1","false","Performance","2004"
"","BLOCKED - AGC 5","","","","LN52states","-1","false","Performance","2005"
"","BLOCKED - AGC 6","","","","LN52states","-1","false","Performance","2006"
"","BLOCKED - AGC 7","","","","LN52states","-1","false","Performance","2007"
"","BLOCKED - AGC 8","","","","LN52states","-1","false","Performance","2008"
"","BLOCKED - AGC 9","","","","LN52states","-1","false","Performance","2009"
"","BLOCKED - AGC 10","","","","LN52states","-1","false","Performance","2010"
"","BLOCKED - AGC 11","","","","LN52states","-1","false","Performance","2011"
"","BLOCKED - AGC 12","","","","LN52states","-1","false","Performance","2012"
"","BLOCKED - AGC 13","","","","LN52states","-1","false","Performance","2013"
"","BLOCKED - AGC 14","","","","LN52states","-1","false","Performance","2014"
"","MECH FAULT - STA 41","","","","LN52states","-1","false","Performance","2101"
"","MECH FAULT - STA 11","","","","LN52states","-1","false","Performance","2101"
"","MECH FAULT - STA 31","","","","LN52states","-1","false","Performance","2101"
"","MECH FAULT - STA 32","","","","LN52states","-1","false","Performance","2102"
"","MECH FAULT - STA 12","","","","LN52states","-1","false","Performance","2102"
"","MECH FAULT - STA 42","","","","LN52states","-1","false","Performance","2102"
"","MECH FAULT - STA 43","","","","LN52states","-1","false","Performance","2103"
"","MECH FAULT - STA 13","","","","LN52states","-1","false","Performance","2103"
"","MECH FAULT - STA 33","","","","LN52states","-1","false","Performance","2103"
"","MECH FAULT - STA 34","","","","LN52states","-1","false","Performance","2104"
"","MECH FAULT - STA 14","","","","LN52states","-1","false","Performance","2104"
"","MECH FAULT - STA 44","","","","LN52states","-1","false","Performance","2104"
"","MECH FAULT - STA 45","","","","LN52states","-1","false","Performance","2105"
"","MECH FAULT - STA 15","","","","LN52states","-1","false","Performance","2105"
"","MECH FAULT - STA 35","","","","LN52states","-1","false","Performance","2105"
"","MECH FAULT - STA 36","","","","LN52states","-1","false","Performance","2106"
"","MECH FAULT - STA 16","","","","LN52states","-1","false","Performance","2106"
"","MECH FAULT - STA 46","","","","LN52states","-1","false","Performance","2106"
"","MECH FAULT - STA 47","","","","LN52states","-1","false","Performance","2107"
"","MECH FAULT - STA 17","","","","LN52states","-1","false","Performance","2107"
"","MECH FAULT - STA 37","","","","LN52states","-1","false","Performance","2107"
"","MECH FAULT - STA 38","","","","LN52states","-1","false","Performance","2108"
"","MECH FAULT - STA 18","","","","LN52states","-1","false","Performance","2108"
"","MECH FAULT - STA 48","","","","LN52states","-1","false","Performance","2108"
"","MECH FAULT - STA 49","","","","LN52states","-1","false","Performance","2109"
"","MECH FAULT - STA 19","","","","LN52states","-1","false","Performance","2109"
"","MECH FAULT - STA 39","","","","LN52states","-1","false","Performance","2109"
"","MECH FAULT - STA 40","","","","LN52states","-1","false","Performance","2110"
"","MECH FAULT - STA 20","","","","LN52states","-1","false","Performance","2110"
"","MECH FAULT - STA 50","","","","LN52states","-1","false","Performance","2110"
"","MECH FAULT - STA 51","","","","LN52states","-1","false","Performance","2111"
"","MECH FAULT - STA 21","","","","LN52states","-1","false","Performance","2111"
"","MECH FAULT - REPAIR IN","","","","LN52states","-1","false","Performance","2111"
"","MECH FAULT - REPAIR OUT","","","","LN52states","-1","false","Performance","2112"
"","MECH FAULT - STA 22","","","","LN52states","-1","false","Performance","2112"
"","MECH FAULT - STA 52","","","","LN52states","-1","false","Performance","2112"
"","MECH FAULT - STA 53","","","","LN52states","-1","false","Performance","2113"
"","MECH FAULT - STA 23","","","","LN52states","-1","false","Performance","2113"
"","MECH FAULT TCI","","","","LN52states","-1","false","Performance","2113"
"","MECH FAULT - STA 24","","","","LN52states","-1","false","Performance","2114"
"","MECH FAULT - STA 54","","","","LN52states","-1","false","Performance","2114"
"","MECH FAULT - STA 55","","","","LN52states","-1","false","Performance","2115"
"","MECH FAULT - STA 25","","","","LN52states","-1","false","Performance","2115"
"","MECH FAULT - STA 26","","","","LN52states","-1","false","Performance","2116"
"","MECH FAULT - STA 56","","","","LN52states","-1","false","Performance","2116"
"","MECH FAULT - STA 57","","","","LN52states","-1","false","Performance","2117"
"","MECH FAULT - STA 27","","","","LN52states","-1","false","Performance","2117"
"","MECH FAULT - STA 28","","","","LN52states","-1","false","Performance","2118"
"","MECH FAULT - STA 58","","","","LN52states","-1","false","Performance","2118"
"","MECH FAULT - STA 59","","","","LN52states","-1","false","Performance","2119"
"","MECH FAULT - STA 29","","","","LN52states","-1","false","Performance","2119"
"","MECH FAULT - STA 30","","","","LN52states","-1","false","Performance","2120"
"","MECH FAULT - STA 60","","","","LN52states","-1","false","Performance","2120"
"","MECH FAULT - REPAIR IN/OUT","","","","LN52states","-1","false","Performance","2121"
"","STA 11 SAFETY SCANNER","","","","LN52states","-1","false","Performance","2121"
