"dt_name","dt_code","dt_wcm","dt_group","dt_class","dt_cluster","dt_priority","dt_user_selectable","oeeType","fault_code"
"","Catches fault codes with no SDC","","","","LN52States","-1","false","Performance","-9000"
"","Running","","","","LN52States","-1","false","Running","0"
"","E - Stop","","","","LN52States","-1","false","Performance","1"
"","C - Stop","","","","LN52States","-1","false","Performance","2"
"","M-Stop","","","","LN52States","-1","false","Performance","4"
"","Photoeye","","","","LN52States","-1","false","Performance","8"
"","Break","","","","LN52States","-1000","false","Planned","16"
"","SCHEDULED RUN (OFF AT PANEL)","","","","LN52States","-1","false","Performance","17"
"","CLEAN OUT ACTIVE","","","","LN52States","-1","false","Performance","32"
"","Breakdown-Machine","Machine","Assembly Tools","Electrical","LN52States","-1","true","Performance","200"
"","Breakdown-Machine","Machine","Assembly Tools","Mechanical","LN52States","-1","true","Performance","201"
"","Breakdown-Machine","Machine","Assembly Tools","Hydraulic","LN52States","-1","true","Performance","202"
"","Breakdown-Machine","Machine","Assembly Tools","Pneumatic","LN52States","-1","true","Performance","203"
"","Breakdown-Machine","Machine","Assembly Tools","Communication","LN52States","-1","true","Performance","205"
"","Breakdown-Machine","Machine","Assembly Tools","Software","LN52States","-1","true","Performance","206"
"","Breakdown-Machine","Machine","Conveyors","Electrical","LN52States","-1","true","Performance","207"
"","Breakdown-Machine","Machine","Conveyors","Mechanical","LN52States","-1","true","Performance","208"
"","Breakdown-Machine","Machine","Conveyors","Hydraulic","LN52States","-1","true","Performance","209"
"","Breakdown-Machine","Machine","Conveyors","Pneumatic","LN52States","-1","true","Performance","210"
"","Breakdown-Machine","Machine","Conveyors","Communication","LN52States","-1","true","Performance","212"
"","Breakdown-Machine","Machine","Conveyors","Software","LN52States","-1","true","Performance","213"
"","Breakdown-Machine","Machine","Elevators & Z Loaders","Electrical","LN52States","-1","true","Performance","214"
"","Breakdown-Machine","Machine","Elevators & Z Loaders","Mechanical","LN52States","-1","true","Performance","215"
"","Breakdown-Machine","Machine","Elevators & Z Loaders","Hydraulic","LN52States","-1","true","Performance","216"
"","Breakdown-Machine","Machine","Elevators & Z Loaders","Pneumatic","LN52States","-1","true","Performance","217"
"","Breakdown-Machine","Machine","Elevators & Z Loaders","Communication","LN52States","-1","true","Performance","219"
"","Breakdown-Machine","Machine","Elevators & Z Loaders","Software","LN52States","-1","true","Performance","220"
"","Breakdown-Machine","Machine","Flippers ","Electrical","LN52States","-1","true","Performance","221"
