;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Retentive, Address, System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###002 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!

;Folders Section (Must define folders before tags)

;Tag Section
"A","COMPRESSOR_3_DISCHARGE_TEMP","","F","D","*","F","I","F",-32768,32767,0,0.01,0,0,"",,,,,,,"::[k45791]N12:182"
"A","COMPRESSOR_3_FILTER_OUT_MAN_PRESS","","F","D","*","F","I","F",-32768,32767,0,0.01,0,0,"",,,,,,,"::[k45791]N12:200"
"A","COMPRESSOR_3_LOAD_STEP","","F","D","*","F","U","F",1,20,0,0.1,0,0,"",,,,,,,"::[k45791]N7:132"
"A","COMPRESSOR_3_MIN_CAP","","F","D","*","F","U","L",1,30,0,1,0,0,"",,,,,,,"::[k45791]N7:31"
"A","COMPRESSOR_3_MIN_CAP_TIME","","F","D","*","F","U","L",0,2400,0,1,0,0,"",,,,,,,"::[k45791]T4:30.PRE"
"A","COMPRESSOR_3_MODE","","F","D","*","F","U","L",0,65535,0,1,0,0,"",,,,,,,"::[k45791]N12:0"
"A","COMPRESSOR_3_MOTOR_AMPS","","F","D","*","F","U","F",0,65535,0,0.01,0,0,"",,,,,,,"::[k45791]N12:212"
"A","COMPRESSOR_3_OIL_INJ_TEMP","","F","D","*","F","I","F",-32768,32767,0,0.01,0,0,"",,,,,,,"::[k45791]N12:186"
"A","COMPRESSOR_3_OIL_SEP_TEMP","","F","D","*","F","I","F",-32768,32767,0,0.01,0,0,"",,,,,,,"::[k45791]N12:184"
"D","COMPRESSOR_3_RUNNING","","F","D","*","F",,,,,,,,,,"0","1","0",,,,"::[k45791]N12:0/2"
"A","COMPRESSOR_3_SELECTOR_SWITCH","","F","D","*","F","U","L",0,65535,0,1,0,0,"",,,,,,,"::[k45791]N7:126"
"A","COMPRESSOR_3_SEQ_NO","","F","D","*","F","U","L",1,2,0,1,0,0,"",,,,,,,"::[k45791]N7:81"
"A","COMPRESSOR_3_SUCTION_PRESS","","F","D","*","F","I","F",-32768,32767,0,0.01,0,0,"",,,,,,,"::[k45791]N12:196"
"A","COMPRESSOR_3_SUCTION_TEMP","","F","D","*","F","I","F",-32768,32767,0,0.01,0,0,"",,,,,,,"::[k45791]N12:180"
"D","COMPRESSOR_3_TRIP","","F","D","*","F",,,,,,,,,,"0","1","0",,,,"::[k45791]N12:0/7"
"A","COMPRESSOR_3_UNLOAD_STEP","","F","D","*","F","U","F",1,20,0,0.1,0,0,"",,,,,,,"::[k45791]N7:133"
"A","COMPRESSOR_3_VOLUME","","F","D","*","F","U","F",0,65535,0,0.1,0,0,"",,,,,,,"::[k45791]N12:17"
"A","COMPRESSOR_3_WAITING","","F","D","*","F","U","L",0,65535,0,1,0,0,"",,,,,,,"::[k45791]N12:1"
"D","CONDENSER_FAN_ALARM","","F","D","*","F",,,,,,,,,,"0","1","0",,,,"[k45791]B3/181"
"A","CONDENSER_FAN_DEADBAND","","F","D","*","F","U","L",0,16383,0,1,0,0,"",,,,,,,"::[k45791]N16:9"
"A","CONDENSER_FAN_GAIN","","F","D","*","F","U","F",0,3276,0,0.1,0,0,"",,,,,,,"::[k45791]N16:3"
"A","CONDENSER_FAN_LOAD_PRESS","","F","D","*","F","U","L",0,300,0,1,0,0,"",,,,,,,"::[k45791]N7:115"
"D","CONDENSER_FAN_ON_OFF","","F","D","*","F",,,,,,,,,,"0","1","0",,,,"::[k45791]I:4/6"
"A","CONDENSER_FAN_RESET","INTEGRAL GAIN OF THE PID CONTROL","F","D","*","F","U","F",0,3276,0,0.1,0,0,"",,,,,,,"::[k45791]N16:4"
"A","CONDENSER_FAN_SELECTOR_SWITCH","","F","D","*","F","U","L",0,65535,0,1,0,0,"",,,,,,,"::[k45791]N7:111"
"A","CONDENSER_FAN_SETPOINT","","F","D","*","F","U","L",0,300,0,1,0,0,"",,,,,,,"::[k45791]N16:2"
"A","CONDENSER_FAN_UNLOAD_PRESS","","F","D","*","F","U","L",0,300,0,1,0,0,"",,,,,,,"::[k45791]N7:116"
"A","CONDENSER_FAN_VFD_SPEED","","F","D","*","F","U","L",0,65535,0,1,0,0,"",,,,,,,"::[k45791]N7:113"
"D","CONDENSER_PUMP_1_ALARM","","F","D","*","F",,,,,,,,,,"0","1","0",,,,"[k45791]B3/179"
"A","CONDENSER_PUMP_1_LOAD_PRESS","","F","D","*","F","U","L",0,300,0,1,0,0,"",,,,,,,"::[k45791]N7:102"
"D","CONDENSER_PUMP_1_ON_OFF","","F","D","*","F",,,,,,,,,,"0","1","0",,,,"::[k45791]I:4/4"
"A","CONDENSER_PUMP_1_SELECTOR_SWITCH","","F","D","*","F","U","L",0,65535,0,1,0,0,"",,,,,,,"::[k45791]N7:109"
"A","CONDENSER_PUMP_1_UNLOAD_PRESS","","F","D","*","F","U","L",0,300,0,1,0,0,"",,,,,,,"::[k45791]N7:103"
"D","CONDENSER_PUMP_2_ALARM","","F","D","*","F",,,,,,,,,,"0","1","0",,,,"[k45791]B3/180"
"A","CONDENSER_PUMP_2_LOAD_PRESS","","F","D","*","F","U","L",0,300,0,1,0,0,"",,,,,,,"::[k45791]N7:104"
"D","CONDENSER_PUMP_2_ON_OFF","","F","D","*","F",,,,,,,,,,"0","1","0",,,,"::[k45791]I:4/5"
"A","CONDENSER_PUMP_2_SELECTOR_SWITCH","","F","D","*","F","U","L",0,65535,0,1,0,0,"",,,,,,,"::[k45791]N7:110"
"A","CONDENSER_PUMP_2_UNLOAD_PRESS","","F","D","*","F","U","L",0,300,0,1,0,0,"",,,,,,,"::[k45791]N7:105"
"D","COOLER_1_DEFROST","","F","D","*","F",,,,,,,,,,"0","1","0",,,,"[k45791]B3/243"
"A","COOLER_1_LIQUID_OFF","","F","D","*","F","I","F",-50,150,0,0.1,0,0,"",,,,,,,"::[k45791]N15:132"
"A","COOLER_DEFROST_TIME","","F","D","*","F","U","L",0,65535,0,1,0,0,"",,,,,,,"::[k45791]C5:6.ACC"
"D","COOLER_FAN_ALARM","","F","D","*","F",,,,,,,,,,"0","1","0",,,,"[k45791]B/191"
